iter	MultiClass
0	1.047317609
1	0.9994440187
2	0.9575261884
3	0.8989576645
4	0.85454708
5	0.8170586549
6	0.7832795597
7	0.7564684276
8	0.7334490248
9	0.7109313008
10	0.692716448
11	0.6753125598
12	0.6610215953
13	0.6487706659
14	0.636860438
15	0.6258296585
16	0.6172211988
17	0.6085592933
18	0.6011596957
19	0.5949044117
20	0.5886678231
21	0.5827675202
22	0.577692502
23	0.5729498292
24	0.5676185205
25	0.5633649975
26	0.5592293182
27	0.555183173
28	0.5527176049
29	0.5499992005
30	0.5467439679
31	0.5445250159
32	0.5429377906
33	0.5413254803
34	0.5398319383
35	0.5377269673
36	0.5355423302
37	0.5335656548
38	0.5320910765
39	0.5304161446
40	0.5292126238
41	0.5278126948
42	0.526562161
43	0.5252711079
44	0.5242979723
45	0.5234598014
46	0.522721984
47	0.5216847908
48	0.5206697021
49	0.5198524723
50	0.5187853287
51	0.5182961085
52	0.5174997358
53	0.5169318852
54	0.5163033438
55	0.5160198663
56	0.5151612183
57	0.5145973018
58	0.5143474261
59	0.5138962915
60	0.5135043908
61	0.5129159277
62	0.5123365946
63	0.5111631793
64	0.5103130956
65	0.5102076304
66	0.5095335672
67	0.5093313875
68	0.5089921379
69	0.5086856354
70	0.508212344
71	0.5072543434
72	0.506883957
73	0.5062990175
74	0.5056785756
75	0.5051772195
76	0.5049062175
77	0.5038027232
78	0.5034079581
79	0.5031230261
80	0.5027471723
81	0.5022704349
82	0.5020663247
83	0.5015561594
84	0.50108083
85	0.5000118446
86	0.4998258987
87	0.4990369061
88	0.4988557509
89	0.498203658
90	0.4975735644
91	0.4972443586
92	0.4967437852
93	0.4963574416
94	0.4958949521
95	0.4957577774
96	0.4952975314
97	0.4943411529
98	0.4936673542
99	0.4935625051
