iter	Passed	Remaining
0	29	2928
1	61	3014
2	97	3152
3	128	3079
4	167	3178
5	203	3187
6	239	3180
7	281	3240
8	327	3316
9	362	3265
10	394	3191
11	426	3130
12	465	3112
13	506	3113
14	543	3081
15	577	3032
16	611	2986
17	645	2940
18	682	2908
19	714	2858
20	747	2811
21	780	2768
22	811	2717
23	845	2678
24	879	2638
25	920	2618
26	960	2597
27	993	2554
28	1027	2514
29	1060	2473
30	1094	2436
31	1132	2406
32	1168	2372
33	1201	2331
34	1210	2248
35	1242	2208
36	1273	2169
37	1308	2134
38	1325	2073
39	1368	2053
40	1410	2029
41	1446	1998
42	1479	1961
43	1520	1934
44	1562	1909
45	1600	1879
46	1639	1849
47	1684	1824
48	1716	1786
49	1748	1748
50	1780	1710
51	1817	1677
52	1854	1644
53	1887	1607
54	1919	1570
55	1938	1522
56	1973	1488
57	2009	1455
58	2038	1416
59	2078	1385
60	2113	1351
61	2162	1325
62	2196	1290
63	2229	1254
64	2267	1221
65	2305	1187
66	2341	1153
67	2378	1119
68	2412	1083
69	2444	1047
70	2477	1011
71	2509	975
72	2544	940
73	2581	906
74	2621	873
75	2661	840
76	2695	805
77	2725	768
78	2757	732
79	2794	698
80	2828	663
81	2863	628
82	2898	593
83	2932	558
84	2964	523
85	2996	487
86	3028	452
87	3058	417
88	3093	382
89	3125	347
90	3156	312
91	3189	277
92	3225	242
93	3277	209
94	3312	174
95	3345	139
96	3380	104
97	3415	69
98	3449	34
99	3481	0
